stable_article_id,title,date,primary_body,party,year_month,source,weight,q1_score,q1_n,q2_score,q2_n,q3_score,q3_n,q4_score,q4_n
art_v1_000466bb367474eb8baf08b85b524c81e09148939914b8fde4cb975c0408d435,"US defense chief vows continued aid to Ukraine, even as Congress is stalled on funding bill",2024-03-19,"Ramstein Air Base, Germany — Defense Secretary Llo",democrat,2024-03,The Detroit News Online,0.6931471805599453,20.0,1.0,,,,,,
art_v1_0004f18649290f435a441f5c26f483f6bdf16fd0ed3d1f62b4ad4a24896982cc,"FOR CRISIS SAKE, CONGRESS; U.S. ignores urgent need as it slow walks aid to crumbling Ukraine",2024-04-19,"BRUSSELS, Belgium — While the Congress fiddles as ",republican,2024-04,The Philadelphia Daily News,0.6931471805599453,20.0,1.0,10.0,1.0,,,20.0,1.0
art_v1_000c676b5e33dbf671a35a5d537c8bc8900f125a85d955a0d6e2ee8632c1fc35,"10 things you need to know today: December 12, 2023",2023-12-12,"Gaza fighting disrupts aid distribution, special c",democrat,2023-12,The Week,0.6931471805599453,0.0,1.0,,,,,,
art_v1_000c676b5e33dbf671a35a5d537c8bc8900f125a85d955a0d6e2ee8632c1fc35,"10 things you need to know today: December 12, 2023",2023-12-12,"Gaza fighting disrupts aid distribution, special c",republican,2023-12,The Week,0.6931471805599453,,,,,,,,
art_v1_000d27410644984293187e9ec2437e90dce5e25ede3977c301da83baa0c50967,Daywatch: A year of Russia’s war in Ukraine,2023-02-24,"Good morning, Chicago.
One year ago, Russia began ",democrat,2023-02,Chicago Tribune Online,0.6931471805599453,,,0.0,1.0,0.0,1.0,,
art_v1_00191bf31c4cc58f655b6957aa8aee4f0990d15322c66612fdb9dddfb7926572,"Russia Gains Ground in East Ukraine as Fight for Bakhmut Intensifies; Russian troops and paramilitary likely control most of Soledar, U.K. Defense Ministry says",2023-01-11,Russian forces made headway in gaining control of ,democrat,2023-01,The Wall Street Journal Online,0.6931471805599453,0.0,1.0,0.0,1.0,0.0,1.0,,
art_v1_00196a9cc50dde7fc864e43cad2b0e91c45904fd9cb5699064cf3579d5cb0aa6,"Russian military has lost more than 10% of combat force sent to Ukraine; humanitarian convoy seized, Zelenskyy says: March 22 recap",2022-03-22,Editor's note: This page recaps the news from Ukra,democrat,2022-03,USA Today Online,1.3862943611198906,,,,,,,,
art_v1_001ad85f45f8f3f30b0f1b9e89c3d1c7f4c8569965755138730f461a7738d8cd,2024 Primary Election Voter Guide: Radio personality and GOP state chair in hard fought race to replace State Rep. Lamborn,2024-06-07,Former radio personality Jeff Crank and state Repu,republican,2024-06,The Gazette (Tribune Content Agency),1.0986122886681098,90.0,1.0,,,,,100.0,1.0
art_v1_001c237b2b7a6fb0efbe9de4ae0c874c2b1c0efda4599ce4049315f3d0045077,"Russia is sanctioning 398 members of Congress to 'mirror' to US sanctions on the State Duma, including lawmakers who criticized Ukraine",2022-04-14,* Russia has blacklisted 398 members of Congress i,republican,2022-04,Business Insider,0.6931471805599453,75.0,1.0,75.0,1.0,,,,
art_v1_001f72ceefcae71902641d186ea9cbcd52d1f830aeb23465b4552043ad8ca74f,House Approves Last-Minute Stopgap To Avert Government Shutdown,2023-09-30,"Topline
The House of Representatives approved an 1",republican,2023-09,Forbes.com,1.0986122886681098,80.0,2.0,,,,,80.0,1.0
art_v1_0022b6f87391bb152154b55b3f5f2679d095aeed389d5382a4ea2d8bd592b4f2,Meta predicts Russian actors will try to influence US elections,2024-08-16,Meta on Thursday predicted Russian actors will try,democrat,2024-08,The Baltimore Sun,0.6931471805599453,0.0,1.0,,,,,,
art_v1_0022b6f87391bb152154b55b3f5f2679d095aeed389d5382a4ea2d8bd592b4f2,Meta predicts Russian actors will try to influence US elections,2024-08-16,Meta on Thursday predicted Russian actors will try,republican,2024-08,The Baltimore Sun,0.6931471805599453,90.0,1.0,70.0,1.0,,,,
