llm_row_number,article_id_schema,sentence_id_schema,stable_sentence_id,stable_article_id,party_mentioned
0,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_888539caf67af7ff6ae640d603bdfcdf66d83f72d7facf7d00696ced63d5841e,art_v1_78fe80d5fa3306663dd77fb2cfdca5125f007e5478b3ab2d0f7dbaefa47ef998,democrat
1,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_ba6418ad3d1f9a4a03f39db34e4431448dd08572ac111316b49244d8b8edc3c4,art_v1_a2f02a89952bbb4d99f99e306ea2668987ad46ccfb683dee08b944385778c428,democrat
2,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_3e1326a0f8a3eeb7ccfa276f7b3cac4dc62bc64187050331b3ce5875a53dea21,art_v1_d70c2ba310cd729909ca213f95c2aaabdfce13c6ebc785cacbf32f2c9baef080,democrat
3,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_ec6037e7e5555df0fa005816a8b70abdf58a1b9d447d76c4ab12e38a8a09eb01,art_v1_d70c2ba310cd729909ca213f95c2aaabdfce13c6ebc785cacbf32f2c9baef080,democrat
4,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_44efdfad640fa5b50321e12e8f97dc6c7ff6611b9976c4a539ee09404d8af6bd,art_v1_6748cf279b502e64131ee3cb7702d9580dc966cc170212282b06541de13d56bd,democrat
5,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_a0010bec90a7edb39d7cccfba3026fd6a23570bf7398390dfa4ae3cc7a358d51,art_v1_6748cf279b502e64131ee3cb7702d9580dc966cc170212282b06541de13d56bd,democrat
6,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_7050a31ddbe5bfa65d76c711a80038ec30b50b97f41fe81e676905948bbbd716,art_v1_6748cf279b502e64131ee3cb7702d9580dc966cc170212282b06541de13d56bd,democrat
7,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_15b86844f7b7ce35a173813556b8ea8d20d7c3581f1915493aa1b5fdf093be16,art_v1_6748cf279b502e64131ee3cb7702d9580dc966cc170212282b06541de13d56bd,democrat
8,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_208d1e87a984065e53392be3250be51d2403b5a27a2d41ddd8bd54fcbfa764e8,art_v1_6748cf279b502e64131ee3cb7702d9580dc966cc170212282b06541de13d56bd,democrat
9,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_be5950497e2a0029b9837f29bee0ba85712041aa8cda16f893ea1dbc00fcbd47,art_v1_48db887036927f519b79dbdc436165c02d60ff520238b4f201baf080bf539e3e,republican
