model_id,series,minseglen,regime,start_index_1based,end_index_1based,start_date,end_date,duration_months,sample_mean,structural_regime_mean,adjacent_structural_shift
Polarization_minseg3_K3_AR2,Polarization,3,1,1,6,2022-03,2022-08,6,27.19990118787781,28.20200642043469,
Polarization_minseg3_K3_AR2,Polarization,3,2,7,13,2022-09,2023-03,7,37.32849604291318,37.27351926137778,9.07151284094309
Polarization_minseg3_K3_AR2,Polarization,3,3,14,18,2023-04,2023-08,5,28.97492122930987,28.742861655944164,-8.530657605433614
Polarization_minseg3_K3_AR2,Polarization,3,4,19,34,2023-09,2024-12,16,39.75876861333296,39.90849726424197,11.165635608297809
Polarization_minseg4_K3_AR2,Polarization,4,1,1,6,2022-03,2022-08,6,27.19990118787781,28.20200642043469,
Polarization_minseg4_K3_AR2,Polarization,4,2,7,13,2022-09,2023-03,7,37.32849604291318,37.27351926137778,9.07151284094309
Polarization_minseg4_K3_AR2,Polarization,4,3,14,18,2023-04,2023-08,5,28.97492122930987,28.742861655944164,-8.530657605433614
Polarization_minseg4_K3_AR2,Polarization,4,4,19,34,2023-09,2024-12,16,39.75876861333296,39.90849726424197,11.165635608297809
Polarization_minseg5_K3_AR2,Polarization,5,1,1,6,2022-03,2022-08,6,27.19990118787781,28.20200642043469,
Polarization_minseg5_K3_AR2,Polarization,5,2,7,13,2022-09,2023-03,7,37.32849604291318,37.27351926137778,9.07151284094309
Polarization_minseg5_K3_AR2,Polarization,5,3,14,18,2023-04,2023-08,5,28.97492122930987,28.742861655944164,-8.530657605433614
Polarization_minseg5_K3_AR2,Polarization,5,4,19,34,2023-09,2024-12,16,39.75876861333296,39.90849726424197,11.165635608297809
Polarization_minseg6_K3_AR2,Polarization,6,1,1,6,2022-03,2022-08,6,27.19990118787781,28.104975368333957,
Polarization_minseg6_K3_AR2,Polarization,6,2,7,12,2022-09,2023-02,6,37.36228130549106,37.77222600928037,9.66725064094641
Polarization_minseg6_K3_AR2,Polarization,6,3,13,18,2023-03,2023-08,6,30.333398435665874,29.79088257333773,-7.981343435942637
Polarization_minseg6_K3_AR2,Polarization,6,4,19,34,2023-09,2024-12,16,39.75876861333296,39.8718967631449,10.081014189807174
Party Brand Index_minseg3_K1_AR0,Party Brand Index,3,1,1,18,2022-03,2023-08,18,53.71945657561394,53.71945657561568,
Party Brand Index_minseg3_K1_AR0,Party Brand Index,3,2,19,34,2023-09,2024-12,16,61.2980214159971,61.29802141599746,7.57856484038178
Party Brand Index_minseg4_K1_AR0,Party Brand Index,4,1,1,18,2022-03,2023-08,18,53.71945657561394,53.71945657561568,
Party Brand Index_minseg4_K1_AR0,Party Brand Index,4,2,19,34,2023-09,2024-12,16,61.2980214159971,61.29802141599746,7.57856484038178
Party Brand Index_minseg5_K1_AR0,Party Brand Index,5,1,1,18,2022-03,2023-08,18,53.71945657561394,53.71945657561568,
Party Brand Index_minseg5_K1_AR0,Party Brand Index,5,2,19,34,2023-09,2024-12,16,61.2980214159971,61.29802141599746,7.57856484038178
Party Brand Index_minseg6_K1_AR0,Party Brand Index,6,1,1,18,2022-03,2023-08,18,53.71945657561394,53.71945657561568,
Party Brand Index_minseg6_K1_AR0,Party Brand Index,6,2,19,34,2023-09,2024-12,16,61.2980214159971,61.29802141599746,7.57856484038178
