series,minseglen,configuration,n_breakpoints,ar_order,break_onset_indices_1based,break_onset_dates,run_frequency,run_proportion,best_objective_for_configuration,delta_bic_from_cell_best,is_cell_winner
Polarization,3,1|0|19,1,0,19,2023-09,3,0.3,228.91603580131203,10.504507612507155,False
Polarization,3,3|2|7|14|19,3,2,7|14|19,2022-09|2023-04|2023-09,3,0.3,218.41152818880488,0.0,True
Polarization,3,3|1|7|15|19,3,1,7|15|19,2022-09|2023-05|2023-09,1,0.1,221.00819620286927,2.5966680140643916,False
Polarization,3,2|0|5|19,2,0,5|19,2022-07|2023-09,1,0.1,228.1773839428242,9.765855754019327,False
Polarization,3,3|1|5|15|19,3,1,5|15|19,2022-07|2023-05|2023-09,1,0.1,225.70695674096305,7.295428552158171,False
Polarization,3,3|2|6|14|19,3,2,6|14|19,2022-08|2023-04|2023-09,1,0.1,222.42405925983428,4.0125310710294,False
Polarization,4,3|2|7|14|19,3,2,7|14|19,2022-09|2023-04|2023-09,6,0.6,218.41152818880488,0.0,True
Polarization,4,3|1|6|15|19,3,1,6|15|19,2022-08|2023-05|2023-09,2,0.2,223.14968552867379,4.738157339868906,False
Polarization,4,2|0|5|19,2,0,5|19,2022-07|2023-09,1,0.1,228.1773839428242,9.765855754019327,False
Polarization,4,3|2|6|14|19,3,2,6|14|19,2022-08|2023-04|2023-09,1,0.1,222.42405925983428,4.0125310710294,False
Polarization,5,3|2|7|14|19,3,2,7|14|19,2022-09|2023-04|2023-09,7,0.7,218.41152818880488,0.0,True
Polarization,5,3|2|7|13|19,3,2,7|13|19,2022-09|2023-03|2023-09,1,0.1,223.98705981390077,5.575531625095891,False
Polarization,5,1|0|19,1,0,19,2023-09,1,0.1,228.91603580131203,10.504507612507155,False
Polarization,5,4|2|7|14|19|25,4,2,7|14|19|25,2022-09|2023-04|2023-09|2024-03,1,0.1,225.4583930228607,7.04686483405581,False
Polarization,6,1|0|19,1,0,19,2023-09,6,0.6,228.91603580131203,4.928975987411263,False
Polarization,6,3|2|7|13|19,3,2,7|13|19,2022-09|2023-03|2023-09,4,0.4,223.98705981390077,0.0,True
Party Brand Index,3,1|0|19,1,0,19,2023-09,10,1.0,215.4820480251376,0.0,True
Party Brand Index,4,1|0|19,1,0,19,2023-09,10,1.0,215.4820480251376,0.0,True
Party Brand Index,5,1|0|19,1,0,19,2023-09,10,1.0,215.4820480251376,0.0,True
Party Brand Index,6,1|0|19,1,0,19,2023-09,10,1.0,215.4820480251376,0.0,True
