series,minseglen,initialization,replicate,seed,suggestion_count,n_breakpoints,ar_order,break_onset_indices_1based,break_onset_dates,ga_objective_bic,refit_raw_bic,break_location_penalty,log_likelihood,ga_convergence_counter,configuration
Polarization,3,structured,1,3401,5,3,1,7|15|19,2022-09|2023-05|2023-09,221.00819620286927,210.4291146290208,10.579081573848484,-94.63547574066192,0.0,3|1|7|15|19
Polarization,3,structured,2,3402,5,1,0,19,2023-09,228.91603580131203,225.38967527669587,3.5263605246161616,-107.4052968514237,0.0,1|0|19
Polarization,3,structured,3,3403,5,1,0,19,2023-09,228.91603580131203,225.38967527669587,3.5263605246161616,-107.4052968514237,0.0,1|0|19
Polarization,3,structured,4,3404,5,2,0,5|19,2022-07|2023-09,228.1773839428242,221.12466289359187,7.052721049232323,-103.50961039756362,0.0,2|0|5|19
Polarization,3,structured,5,3405,5,3,2,7|14|19,2022-09|2023-04|2023-09,218.41152818880488,207.83244661495638,10.579081573848484,-91.57396147132162,0.0,3|2|7|14|19
Polarization,3,random,1,4401,0,1,0,19,2023-09,228.91603580131203,225.38967527669587,3.5263605246161616,-107.4052968514237,0.0,1|0|19
Polarization,3,random,2,4402,0,3,1,5|15|19,2022-07|2023-05|2023-09,225.70695674096305,215.12787516711455,10.579081573848484,-96.98485600970879,0.0,3|1|5|15|19
Polarization,3,random,3,4403,0,3,2,7|14|19,2022-09|2023-04|2023-09,218.41152818880488,207.83244661495638,10.579081573848484,-91.57396147132162,0.0,3|2|7|14|19
Polarization,3,random,4,4404,0,3,2,6|14|19,2022-08|2023-04|2023-09,222.42405925983428,211.84497768598578,10.579081573848484,-93.58022700683632,0.0,3|2|6|14|19
Polarization,3,random,5,4405,0,3,2,7|14|19,2022-09|2023-04|2023-09,218.41152818880488,207.83244661495638,10.579081573848484,-91.57396147132162,0.0,3|2|7|14|19
Polarization,4,structured,1,3501,5,3,2,7|14|19,2022-09|2023-04|2023-09,218.41152818880488,207.83244661495638,10.579081573848484,-91.57396147132162,0.0,3|2|7|14|19
