minimum_regime_duration,initialization,replicate,seed,suggestion_count,n_breakpoints,ar_order,break_onset_indices_1based,break_onset_dates,joint_bic,log_likelihood,convergence_counter,configuration
3,structured,1,361889857,4,3,2,7|14|19,2022-09|2023-04|2023-09,221.89869969104313,-91.55436696013267,0.0,3|2|7|14|19
3,structured,2,2082185685,4,3,2,7|14|19,2022-09|2023-04|2023-09,221.89869969104313,-91.55436696013267,0.0,3|2|7|14|19
3,structured,3,610231700,4,3,2,7|14|19,2022-09|2023-04|2023-09,221.89869969104313,-91.55436696013267,0.0,3|2|7|14|19
3,structured,4,1424567517,4,3,1,7|19|28,2022-09|2023-09|2024-06,227.94090324793882,-96.33864900088861,0.0,3|1|7|19|28
3,structured,5,2083980207,4,2,0,5|19,2022-07|2023-09,229.50032477443216,-102.40790055105951,0.0,2|0|5|19
3,random,1,33202600,0,1,0,5,2022-07,230.66372058659644,-106.51595898175782,0.0,1|0|5
3,random,2,1708450934,0,3,1,7|15|19,2022-09|2023-05|2023-09,224.3899411687492,-94.56316796129379,0.0,3|1|7|15|19
3,random,3,982755592,0,2,0,5|19,2022-07|2023-09,229.50032477443216,-102.40790055105951,0.0,2|0|5|19
3,random,4,1594011185,0,3,1,7|15|19,2022-09|2023-05|2023-09,224.3899411687492,-94.56316796129379,0.0,3|1|7|15|19
3,random,5,1720398539,0,3,1,6|15|19,2022-08|2023-05|2023-09,226.66104281354427,-95.69871878369133,0.0,3|1|6|15|19
4,structured,1,293838553,4,3,2,7|14|18,2022-09|2023-04|2023-08,228.5720235040929,-94.89102886665756,0.0,3|2|7|14|18
4,structured,2,1258394710,4,4,2,7|14|19|28,2022-09|2023-04|2023-09|2024-06,222.67539682016593,-88.41635500007791,0.0,4|2|7|14|19|28
4,structured,3,1293294932,4,2,0,5|19,2022-07|2023-09,229.50032477443216,-102.40790055105951,0.0,2|0|5|19
4,structured,4,2131672738,4,2,0,5|19,2022-07|2023-09,229.50032477443216,-102.40790055105951,0.0,2|0|5|19
4,structured,5,796437980,4,2,0,5|19,2022-07|2023-09,229.50032477443216,-102.40790055105951,0.0,2|0|5|19
4,random,1,1661778278,0,3,2,7|14|19,2022-09|2023-04|2023-09,221.89869969104313,-91.55436696013267,0.0,3|2|7|14|19
4,random,2,334875527,0,3,2,7|14|19,2022-09|2023-04|2023-09,221.89869969104313,-91.55436696013267,0.0,3|2|7|14|19
4,random,3,1379478511,0,3,2,6|14|19,2022-08|2023-04|2023-09,225.94061097359116,-93.57532260140668,0.0,3|2|6|14|19
4,random,4,1866280192,0,1,0,5,2022-07,230.66372058659644,-106.51595898175782,0.0,1|0|5
4,random,5,1071227163,0,3,2,7|14|19,2022-09|2023-04|2023-09,221.89869969104313,-91.55436696013267,0.0,3|2|7|14|19
5,structured,1,1257955791,4,3,2,6|14|19,2022-08|2023-04|2023-09,225.94061097359116,-93.57532260140668,0.0,3|2|6|14|19
5,structured,2,555020867,4,3,2,7|14|19,2022-09|2023-04|2023-09,221.89869969104313,-91.55436696013267,0.0,3|2|7|14|19
5,structured,3,1599446786,4,3,2,7|14|19,2022-09|2023-04|2023-09,221.89869969104313,-91.55436696013267,0.0,3|2|7|14|19
5,structured,4,1878796045,4,3,2,7|14|19,2022-09|2023-04|2023-09,221.89869969104313,-91.55436696013267,0.0,3|2|7|14|19
5,structured,5,896755113,4,3,2,6|14|19,2022-08|2023-04|2023-09,225.94061097359116,-93.57532260140668,0.0,3|2|6|14|19
5,random,1,1273440723,0,3,2,7|14|19,2022-09|2023-04|2023-09,221.89869969104313,-91.55436696013267,0.0,3|2|7|14|19
5,random,2,57061153,0,3,2,6|14|19,2022-08|2023-04|2023-09,225.94061097359116,-93.57532260140668,0.0,3|2|6|14|19
5,random,3,41128424,0,2,0,7|19,2022-09|2023-09,231.14882194129362,-103.23214913449024,0.0,2|0|7|19
5,random,4,1217879983,0,3,2,6|14|19,2022-08|2023-04|2023-09,225.94061097359116,-93.57532260140668,0.0,3|2|6|14|19
5,random,5,176267318,0,2,0,7|19,2022-09|2023-09,231.14882194129362,-103.23214913449024,0.0,2|0|7|19
6,structured,1,261498242,4,1,0,7,2022-09,231.84164928696904,-107.10492333194412,0.0,1|0|7
6,structured,2,656252550,4,3,2,7|13|19,2022-09|2023-03|2023-09,227.44305041139012,-94.32654232030617,0.0,3|2|7|13|19
6,structured,3,262037882,4,2,0,7|19,2022-09|2023-09,231.14882194129362,-103.23214913449024,0.0,2|0|7|19
6,structured,4,1170593700,4,2,0,7|19,2022-09|2023-09,231.14882194129362,-103.23214913449024,0.0,2|0|7|19
6,structured,5,1355538381,4,3,2,7|13|19,2022-09|2023-03|2023-09,227.44305041139012,-94.32654232030617,0.0,3|2|7|13|19
6,random,1,32074222,0,3,1,7|19|27,2022-09|2023-09|2024-05,231.11563145088724,-97.9260131023628,0.0,3|1|7|19|27
6,random,2,1380835345,0,2,0,7|19,2022-09|2023-09,231.14882194129362,-103.23214913449024,0.0,2|0|7|19
6,random,3,754965843,0,3,2,7|13|19,2022-09|2023-03|2023-09,227.44305041139012,-94.32654232030617,0.0,3|2|7|13|19
6,random,4,781904517,0,3,2,7|13|19,2022-09|2023-03|2023-09,227.44305041139012,-94.32654232030617,0.0,3|2|7|13|19
6,random,5,1832961864,0,3,2,7|13|19,2022-09|2023-03|2023-09,227.44305041139012,-94.32654232030617,0.0,3|2|7|13|19
