minimum_regime_duration,model_class,ar_order,n_breakpoints,break_onset_indices_1based,break_onset_dates,log_likelihood,joint_bic,delta_bic_within_duration,selected_within_duration
3,trend_only,0,0,,none,-108.82475076042577,228.2285830947,9.817054905895134,False
3,break_only,2,3,7|14|19,2022-09|2023-04|2023-09,-91.57396147132162,218.41152818880488,0.0,True
3,break_plus_trend,2,3,7|14|19,2022-09|2023-04|2023-09,-91.55436696013267,221.89869969104313,3.4871715022382546,False
4,trend_only,0,0,,none,-108.82475076042577,228.2285830947,9.817054905895134,False
4,break_only,2,3,7|14|19,2022-09|2023-04|2023-09,-91.57396147132162,218.41152818880488,0.0,True
4,break_plus_trend,2,3,7|14|19,2022-09|2023-04|2023-09,-91.55436696013267,221.89869969104313,3.4871715022382546,False
5,trend_only,0,0,,none,-108.82475076042577,228.2285830947,9.817054905895134,False
5,break_only,2,3,7|14|19,2022-09|2023-04|2023-09,-91.57396147132162,218.41152818880488,0.0,True
5,break_plus_trend,2,3,7|14|19,2022-09|2023-04|2023-09,-91.55436696013267,221.89869969104313,3.4871715022382546,False
6,trend_only,0,0,,none,-108.82475076042577,228.2285830947,4.2415232807992425,False
6,break_only,2,3,7|13|19,2022-09|2023-03|2023-09,-94.36172728386957,223.98705981390077,0.0,True
6,break_plus_trend,2,3,7|13|19,2022-09|2023-03|2023-09,-94.32654232030617,227.44305041139012,3.455990597489347,False
